actor_a,actor_b,weight,shared
Lancetnik,douglasborthwick-crypto,1,2
Lancetnik,edenreich,1,3
Lancetnik,ericksonc,1,1
Lancetnik,gregboero,1,2
Lancetnik,gstudiogdesigns-max,1,1
Lancetnik,gulercan,1,1
Lancetnik,hammadtq,1,1
Lancetnik,hmk,1,1
Lancetnik,holtskinner,1,4
Lancetnik,idagelic,1,1
Lancetnik,imran-siddique,1,2
Lancetnik,izzymsft,1,4
Lancetnik,jlfolland,1,2
Lancetnik,justin-octo,1,1
Lancetnik,kdenhartog,1,2
Lancetnik,koyeliaghosh,1,1
Lancetnik,kthota-g,1,4
Lancetnik,laurentsimon,1,3
Lancetnik,liar666,1,1
Lancetnik,logan272,1,3
Lancetnik,loganwolfe-ims,1,1
Lancetnik,lorenzocipriani-huawei,1,2
Lancetnik,lrosenthol,1,1
Lancetnik,lukehinds,1,4
Lancetnik,maeste,1,4
Lancetnik,manja316,1,1
Lancetnik,mihaimaruseac,1,3
Lancetnik,mikeas1,1,4
Lancetnik,mprynce,1,2
Lancetnik,muscariello,2,3
Lancetnik,nembal,1,1
Lancetnik,nerunja,1,1
Lancetnik,ognis1205,1,4
Lancetnik,palladius,1,2
Lancetnik,pascal910107,1,1
Lancetnik,patwhite,1,3
Lancetnik,princejha95,1,3
Lancetnik,pstephengoogle,1,4
Lancetnik,pszjmb1,1,1
Lancetnik,pwwpche,2,2
Lancetnik,ragaoua,1,1
Lancetnik,robert-at-pretension-io,1,4
Lancetnik,robomotic,1,2
Lancetnik,rsoika,1,1
Lancetnik,sfitts,1,3
Lancetnik,siacomuzzi,1,4
Lancetnik,suforme,1,1
Lancetnik,swapydapy,1,4
Lancetnik,syllogismos,1,3
Lancetnik,thebenignhacker,1,2
Lancetnik,tomasdev,1,1
Lancetnik,vishalmysore,1,4
Lancetnik,whitlockjc,1,4
Lancetnik,whysage,1,3
Lancetnik,workkrinal-02,1,1
Lancetnik,xtrasmal,1,1
Lancetnik,ydennisy,1,3
Lancetnik,yedidel,1,2
Lancetnik,yu-iskw,1,1
Lancetnik,zeroasterisk,1,3
LingJingMaster,MaoJianwei,1,1
LingJingMaster,ZapzCsgo,1,1
LingJingMaster,muscariello,1,1
LingJingMaster,pwwpche,1,1
LingJingMaster,sfitts,1,1
LingJingMaster,xtrasmal,1,1
Linux2010,MaoJianwei,1,1
Linux2010,ZapzCsgo,1,2
Linux2010,abdibrokhim,1,2
Linux2010,ajaynagotha,1,3
Linux2010,bkowal,1,1
Linux2010,bparees,1,2
Linux2010,c-mysec,1,4
Linux2010,cdavernas,1,4
Linux2010,dayuyang1999,1,3
Linux2010,hamidra,1,1
Linux2010,ishymko,1,2
Linux2010,justfalter,3,4
Linux2010,liar666,1,1
Linux2010,lrosenthol,1,1
Linux2010,mbleigh,1,1
Linux2010,muscariello,1,4
Linux2010,pwwpche,1,3
Linux2010,sfitts,2,3
Linux2010,vladkol,1,1
Linux2010,xtrasmal,1,2
LucaButBoring,yarolegovich,1,1
LuckyLaochou,abdibrokhim,1,1
LuckyLaochou,ajaynagotha,1,1
LuckyLaochou,bkowal,1,1
LuckyLaochou,bparees,1,1
LuckyLaochou,hamidra,1,1
LuckyLaochou,justfalter,1,1
LuckyLaochou,mbleigh,1,1
LuckyLaochou,sfitts,1,1
LuckyLaochou,vladkol,1,1
MG1-4,abdibrokhim,1,1
MG1-4,ajaynagotha,1,2
MG1-4,bkowal,1,1
MG1-4,bparees,1,1
MG1-4,hamidra,1,1
MG1-4,ishymko,1,3
MG1-4,justfalter,2,2
MG1-4,mbleigh,1,1
MG1-4,sfitts,1,2
MG1-4,vladkol,1,1
MaoJianwei,Phil-Hills,1,1
MaoJianwei,PoolDad-Legal,1,1
MaoJianwei,Realsid,1,1
MaoJianwei,RobinQu,1,1
MaoJianwei,SecureAgentTools,1,1
MaoJianwei,Tehsmash,1,1
MaoJianwei,aglicacha,1,1
MaoJianwei,ai-boost,1,1
MaoJianwei,andreibesleaga,1,1
MaoJianwei,architectureofthings,1,1
MaoJianwei,benclarkeio,1,1
MaoJianwei,borisalekseev,1,1
MaoJianwei,bparees,1,1
MaoJianwei,bustosjuan,1,1
MaoJianwei,c-mysec,1,1
MaoJianwei,chorghemaruti64-creator,1,1
MaoJianwei,ctorrao,1,1
MaoJianwei,danja,1,1
MaoJianwei,darkhaniop,1,1
MaoJianwei,darrelmiller,1,1
MaoJianwei,davidlivekoo2012,1,1
MaoJianwei,dayuyang1999,1,1
MaoJianwei,dinesh707,1,1
MaoJianwei,djsamseng,1,1
MaoJianwei,dmandar,1,1
MaoJianwei,egor-baranov,1,1
MaoJianwei,everettVT,1,1
MaoJianwei,gNtino,1,1
MaoJianwei,gagb,1,1
MaoJianwei,graemefoster,1,1
MaoJianwei,gregboero,1,1
MaoJianwei,guglielmo-san,1,1
MaoJianwei,herczyn,1,1
MaoJianwei,holtskinner,1,1
MaoJianwei,hoonji,1,1
MaoJianwei,howientc,1,1
MaoJianwei,inesmcm26,1,1
MaoJianwei,irshadnilam,1,1
MaoJianwei,izzymsft,1,1
MaoJianwei,jackwotherspoon,1,1
MaoJianwei,jamesarmenta,1,1
MaoJianwei,jamesfebin,1,1
MaoJianwei,jankrynauw,1,1
MaoJianwei,jesuino,1,1
MaoJianwei,jland-redhat,1,1
MaoJianwei,jocelynh-microsoft,1,1
MaoJianwei,jonigl,1,1
MaoJianwei,justfalter,1,1
MaoJianwei,kdenhartog,1,1
MaoJianwei,kedoska,1,1
MaoJianwei,kshitizz36,1,1
MaoJianwei,kthota-g,1,1
MaoJianwei,kurt-r2c,1,1
MaoJianwei,leavez,1,1
MaoJianwei,lexi-k,1,1
MaoJianwei,lkawka,1,1
MaoJianwei,logan-markewich,1,1
MaoJianwei,logan272,1,1
MaoJianwei,madankumarpichamuthu,1,1
MaoJianwei,maeste,1,1
MaoJianwei,markgoho,1,1
MaoJianwei,matoushavlena,1,1
MaoJianwei,maxekman,1,1
MaoJianwei,meguminnnnnnnnn,1,1
MaoJianwei,michelschep,1,1
MaoJianwei,mikeas1,1,1
MaoJianwei,mindpower,1,1
MaoJianwei,moonbox3,1,1
MaoJianwei,muthub-ai,1,1
MaoJianwei,nikhilmaddirala,1,1
MaoJianwei,ognis1205,1,1
MaoJianwei,oliverlabs,1,1
MaoJianwei,patwhite,1,1
MaoJianwei,pcingola,1,1
MaoJianwei,perfectspr,1,1
MaoJianwei,peterwang2013,1,1
MaoJianwei,princejha95,1,1
MaoJianwei,priyankjecrc,1,1
MaoJianwei,pstephengoogle,1,1
MaoJianwei,r3motecontrol,1,1
MaoJianwei,rajeshvelicheti,1,1
MaoJianwei,robert-at-pretension-io,1,1
MaoJianwei,rrrodzilla,1,1
MaoJianwei,sandangel,1,1
MaoJianwei,siacomuzzi,1,1
MaoJianwei,sing1ee,1,1
MaoJianwei,suensky,1,1
MaoJianwei,swapydapy,1,1
MaoJianwei,tiswanso,1,1
MaoJianwei,tomkis,1,1
MaoJianwei,tucnak,1,1
MaoJianwei,victordibia,1,1
MaoJianwei,vinoo999,1,1
MaoJianwei,vishalmysore,1,1
MaoJianwei,vizmut-labs,1,1
MaoJianwei,vongosling,1,1
MaoJianwei,whitlockjc,1,1
MaoJianwei,wjcwjc77,1,1
MaoJianwei,xui-will,1,1
MaoJianwei,yarolegovich,1,1
MaoJianwei,ymmt2005,1,1
MaoJianwei,zamorofthat,1,1
MaryamZi,abdibrokhim,1,1
MaryamZi,ajaynagotha,1,1
MaryamZi,bkowal,1,1
MaryamZi,bparees,1,1
MaryamZi,hamidra,1,1
MaryamZi,justfalter,1,1
MaryamZi,mbleigh,1,1
MaryamZi,sfitts,1,1
MaryamZi,vladkol,1,1
Meir017,dayuyang1999,1,2
Meir017,liar666,1,1
Meir017,lrosenthol,1,1
MengJiapeng,abdibrokhim,1,1
MengJiapeng,ajaynagotha,1,1
MengJiapeng,bkowal,1,1
MengJiapeng,bparees,1,1
MengJiapeng,hamidra,1,1
MengJiapeng,justfalter,1,1
MengJiapeng,mbleigh,1,1
MengJiapeng,sfitts,1,1
MengJiapeng,vladkol,1,1
Midnight-719,yarolegovich,1,1
Mocuto,abdibrokhim,1,1
Mocuto,ajaynagotha,1,1
Mocuto,bkowal,1,1
Mocuto,bparees,1,1
Mocuto,dayuyang1999,1,2
Mocuto,hamidra,1,1
Mocuto,justfalter,1,1
Mocuto,liar666,1,1
Mocuto,lrosenthol,1,1
Mocuto,mbleigh,1,1
Mocuto,sfitts,1,2
Mocuto,vladkol,1,1
MoonRendering,abdibrokhim,1,2
MoonRendering,ajaynagotha,1,2
MoonRendering,bkowal,1,1
MoonRendering,bparees,1,1
MoonRendering,c-mysec,1,2
MoonRendering,cdavernas,1,2
MoonRendering,hamidra,1,1
