author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
gregboero,0,0,0,0,0,1,1,1,0,0,0,0
grll,0,4,1,0,0,0,0,0,0,0,0,0
gspencergoog,0,1,1,0,0,0,0,0,0,0,0,0
gstudiogdesigns-max,0,0,0,0,0,0,0,1,0,0,0,0
guglielmo-san,0,2,0,1,1,1,0,0,3,0,0,0
gukoff,0,0,0,0,0,0,0,0,1,0,0,0
gulercan,0,0,0,0,0,0,0,1,0,0,0,1
gvdongen,0,1,0,0,0,0,1,0,0,0,0,0
hamidra,0,1,0,0,0,0,0,0,0,0,0,0
hammadtq,0,0,0,0,0,0,0,1,0,0,0,0
harrigan,0,1,0,0,0,0,0,0,0,0,0,0
harris2012,0,0,0,1,0,0,0,0,0,0,0,0
haxudev,0,0,1,0,1,0,0,0,0,0,0,0
heiko-hotz,0,0,1,0,0,0,0,0,0,0,0,0
herczyn,4,4,0,5,3,5,0,0,5,0,0,0
hieuminh65,1,0,0,0,0,0,0,0,1,0,0,0
hkmo99,1,0,0,0,0,0,0,0,1,0,0,0
hmk,0,0,0,0,0,0,0,1,0,0,0,0
holtskinner,28,132,65,23,4,32,6,8,29,3,3,3
hoonji,0,0,0,0,0,1,0,0,2,0,0,0
hotdogarea,0,0,2,0,0,0,0,0,0,0,0,0
howientc,0,0,0,0,0,1,0,0,0,0,0,0
htondro,0,1,0,0,0,0,0,0,0,0,0,0
hugo-romero-mm,0,0,1,0,0,0,0,0,0,0,0,0
hujiulong,0,0,1,0,0,0,0,0,0,0,0,0
humuhimi,0,0,1,0,0,0,0,0,0,0,0,0
iFurySt,0,0,1,0,0,0,0,0,0,0,0,0
iamrajiv,0,1,0,0,0,0,0,0,0,0,1,0
ibrahimokuyucu,0,0,1,0,0,0,0,0,0,0,0,3
idagelic,0,0,0,0,0,0,0,1,0,0,0,0
ieb,1,0,0,0,0,0,0,0,0,0,0,0
iliesicatrinel,0,4,1,1,0,0,0,0,0,0,0,0
imfing,0,1,0,0,0,0,0,0,0,0,0,0
imran-siddique,2,0,5,0,0,0,0,15,0,0,0,3
inesmcm26,0,4,1,0,0,3,0,0,0,0,0,0
ipapapa,0,0,0,0,0,0,0,0,1,0,0,0
irshadnilam,0,0,0,0,0,1,0,0,2,0,0,0
ishymko,1,14,0,0,0,0,0,0,1,0,0,0
izzymsft,2,10,3,0,1,1,1,4,9,1,0,0
jackwotherspoon,0,1,0,0,0,1,0,0,0,0,0,0
jamesarmenta,0,0,0,0,0,1,0,0,0,0,0,0
jamesev15,0,0,1,0,0,0,0,0,0,0,0,0
jamesfebin,0,0,0,0,0,1,0,0,0,0,0,0
jankrynauw,0,0,0,0,0,1,0,0,0,0,0,0
jaredrsommer,1,0,0,0,0,0,0,0,0,0,0,0
jasonmadigan,0,0,0,1,0,0,0,0,0,0,0,0
jeanibarz,0,1,0,0,0,0,1,0,0,0,0,0
jebinj22,0,1,0,0,0,1,4,0,0,0,0,0
jeff-nasseri,0,0,1,0,0,0,0,0,0,0,0,0
jeletor,0,0,2,0,0,0,0,0,0,0,0,0
jenish2917,0,0,2,0,0,0,0,0,0,0,0,0
jerlyjelly,0,0,0,0,0,0,1,0,0,0,0,0
jeromemassot,0,1,0,0,0,0,0,0,0,0,0,0
jesuino,0,0,0,0,0,1,0,0,0,0,0,0
jfabend,0,0,0,0,0,1,0,0,0,0,0,0
jkfnc,0,1,0,0,0,0,0,0,0,0,0,0
jland-redhat,1,3,2,0,0,3,0,0,0,0,0,0
jlestebanbenu,1,0,0,0,0,0,0,0,0,0,0,0
jlfolland,0,0,1,0,0,0,0,1,0,0,0,0
jmandel,0,3,3,2,0,0,1,0,0,0,0,0
jmesnil,0,2,1,2,0,0,0,0,1,0,0,0
jmracek,1,0,0,0,0,0,0,0,0,0,0,0
jnapper7,0,1,0,0,0,0,0,0,0,0,0,0
joaovilker,0,1,0,0,0,0,0,0,0,0,0,0
jocelynh-microsoft,0,2,0,0,0,1,0,0,0,0,0,0
joepvgenuchten,0,0,0,1,0,0,0,0,0,0,0,0
joevidev,0,2,0,0,0,0,0,0,0,0,0,0
johnson7788,1,0,0,1,0,0,0,1,0,0,0,0
jonigl,0,0,2,0,1,1,0,0,0,0,0,2
joshhalley,4,0,0,1,0,0,0,0,0,0,0,0
joshua-mo-143,0,1,0,0,0,0,0,0,0,0,0,0
jowpurcinelli,0,1,0,0,0,0,0,0,0,0,0,0
jpandrade30,1,0,0,0,0,0,0,0,0,0,0,0
jrcks67,0,1,0,0,0,0,0,0,0,0,0,0
jsahil,0,0,0,0,0,1,1,0,0,0,0,0
jtanningbed,0,0,1,0,0,0,0,0,0,1,0,0
justfalter,3,2,0,1,0,1,0,0,0,0,0,0
justin-octo,0,0,0,0,0,0,0,1,0,0,0,0
jwson-automation,0,1,1,0,0,0,0,0,0,0,0,0
k-jarzyna,0,0,1,0,0,0,0,0,0,0,0,0
kabir,0,4,0,2,0,0,0,0,0,0,0,0
kadirpekel,0,0,0,1,0,0,0,0,0,0,0,0
kay-schmitteckert,0,1,0,0,0,0,0,0,0,0,0,0
